epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7634,0.81592,2.91962,1.05992,0.00414,0.94737,0.58494,0.48781,0.78733,2.99942,0.90855,0.00016,0.00016,0.00016
2,100.766,0.80217,1.63745,0.95444,0.80314,0.42974,0.65778,0.51418,0.85073,2.68413,0.92736,0.0002278,0.0002278,0.0002278
3,136.486,0.84141,1.52349,1.00282,0.93176,0.35971,0.70052,0.57914,0.80553,2.71596,0.89524,0.0001768,0.0001768,0.0001768
