epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1538.33,0.68003,0.5807,0.94668,0.92759,0.73684,0.78476,0.62169,0.93259,1.06554,0.97428,0.0011882,0.0011882,0.0011882
43,1573.63,0.61312,0.57061,0.94139,0.90157,0.73684,0.76909,0.61166,0.94988,1.13207,0.98653,0.0011684,0.0011684,0.0011684
44,1607.82,0.6692,0.56142,0.96142,0.92272,0.68421,0.74636,0.59538,0.96008,1.14792,1.01239,0.0011486,0.0011486,0.0011486
45,1641.59,0.6799,0.55875,0.95069,0.92542,0.65789,0.75199,0.59696,0.92339,1.12949,0.99419,0.0011288,0.0011288,0.0011288
46,1675.44,0.63715,0.57,0.92105,0.92824,0.68421,0.76929,0.59973,0.90944,1.0879,0.99479,0.001109,0.001109,0.001109
47,1709.21,0.71041,0.57206,0.97415,0.92517,0.65789,0.75557,0.58177,0.947,1.11534,1.00381,0.0010892,0.0010892,0.0010892
48,1743.38,0.67613,0.54185,0.9327,0.82041,0.76316,0.79089,0.63463,0.85351,0.98392,0.94742,0.0010694,0.0010694,0.0010694
49,1777.09,0.62909,0.53141,0.92863,0.83261,0.78545,0.81621,0.63561,0.86284,0.94651,0.94592,0.0010496,0.0010496,0.0010496
50,1810.93,0.64393,0.5155,0.92147,0.85837,0.76316,0.81514,0.64433,0.83938,0.93266,0.94603,0.0010298,0.0010298,0.0010298
51,1844.63,0.64323,0.54124,0.94513,0.86145,0.81579,0.82531,0.65273,0.85156,0.87913,0.93409,0.00101,0.00101,0.00101
52,1878.48,0.65899,0.5674,0.94728,0.87151,0.76316,0.81305,0.61954,0.98761,0.97177,0.99516,0.0009902,0.0009902,0.0009902
53,1912.36,0.63103,0.51829,0.91112,0.95503,0.71053,0.80547,0.64642,0.89043,0.99358,0.96637,0.0009704,0.0009704,0.0009704
54,1945.87,0.62567,0.51224,0.91992,0.93159,0.71684,0.78345,0.63891,0.83892,0.92355,0.95095,0.0009506,0.0009506,0.0009506
55,1979.17,0.59767,0.49849,0.902,0.92926,0.73684,0.76936,0.62763,0.8865,0.95162,0.97994,0.0009308,0.0009308,0.0009308
56,2012.62,0.61623,0.515,0.92297,0.9764,0.71053,0.77772,0.62656,0.85531,0.86487,0.96946,0.000911,0.000911,0.000911
